insta_handles,engagement_%
carneyval,7.393078855752220
coinnexx,0.11622276217259000
uinfootwear,0.41579420120028900
julianna.d.photography,1.4943983578368800
jacquelinemayah,0.44808535166461200
hera_in_the_mirror,0.866517526665995
loganwebbofficial,3.25499910910431
xceltalent,0.452122301528695
thehivesm,0.967203008294424
balletbarani,2.1815007616254
realdealmada,1.52254901809545
bevinsparty,0.552576436107701
jojogomezxo,0.749431900301938
michaelroud,0.831907567343826
softserveclothingco,0.396219646254205
_darienshoults,22.3189677370133
copycodes.io,1.6368163426987
adhrucia,1.06826494263142
clark_public_relations,6.13236143758261
shanyzoff,2.19324497648568
ttpproductions,1.44793666584539
auntie_tay,0.336826784422772
thekandelstudio,1.31866688504746
sofreshsocleanbrand,0.751335702494125
abdelghafour_bounaji,0.366191885412636
alitsa_kids,0.327068107484521
_cute_hynexx.xx,16.1358385126543
grooveinteractive,2.52142477384263
mila_ortegaa,3.65484105410294
kendyl_loves_dance,3.00326979487557
kinleyfullout,2.2677803314247
bellawanninger,10.238802155312
3rdsalim,12.1587382645245
markbontempo,23.0175154845706
_laragava,0.959334602935338
pressleyhosbach,1.81419573597218
itsparismoore,5.74191460517815
itskamrynsmith,2.24354601701417
alldanceinternationalofficial,1.09212256802265
yasmin_beiro,0.589386264773644
coral.aurea,2.35259345638413
shanna.michele,0.316142803189435